#cores oneway roundtrip
2       275     539   
3       390     555   
4       585     833   
5       781     1152  
6       976     1441  
7       1172    1668  
8       1368    1946  
9       1563    2225  
10      1759    2502  
11      1954    2781  
12      2150    3059  
13      2346    3340  
14      2552    3634  
15      2744    3897  
16      2934    4197  
17      3130    4455  
18      3327    4737  
19      3525    5018  
20      3720    5294  
21      3916    5574  
22      4113    5884  
23      4311    6135  
24      4505    6436  
25      4703    6700  
26      4903    6977  
27      5097    7257  
28      5295    7627  
29      5495    7817  
30      5689    8100  
31      5890    8384  
32      6084    8672  
33      6283    8996  
34      6484    9224  
35      6677    9513  
36      6877    9866  
37      7072    10094 
38      7284    10396 
39      7468    10639 
40      7667    10956 
41      7866    11228 
42      8062    11537 
43      8265    11786 
44      8458    12112 
45      8684    12344 
46      8855    12714 
47      9053    12892 
48      9300    13232 
49      9449    13554 
50      9648    13967 
51      9881    14156 
52      10047   14422 
53      10244   14789 
54      10468   15079 
55      10651   15305 
56      10842   15536 
57      11039   15984 
58      12020   17796 
59      13469   19894 
60      16362   25248 
61      17066   26279 
62      17233   26427 
63      17548   27503 
64      18300   26367 
