#cores oneway roundtrip
2       53      130   
3       53      128   
4       71      182   
5       91      250   
6       108     338   
7       132     412   
8       148     535   
9       164     605   
10      172     679   
11      185     728   
12      177     838   
13      176     916   
14      187     930   
15      187     992   
16      207     1054  
17      193     1221  
18      189     1236  
19      204     1381  
20      198     1461  
21      195     1407  
22      214     1464  
23      211     1604  
24      215     1787  
25      207     1839  
26      206     1836  
27      219     2083  
28      219     1962  
29      202     2201  
30      207     2130  
31      218     2205  
32      213     2250  
33      215     2348  
34      204     2364  
35      222     2672  
36      235     2689  
