#cores oneway roundtrip
2       271     881   
3       662     802   
4       955     716   
5       1273    802   
6       1612    948   
7       1901    1192  
8       2271    1470  
9       2581    1843  
10      2930    2114  
11      3210    2275  
12      3601    2560  
13      3987    2877  
14      4119    3163  
15      4550    3465  
16      4885    3860  
17      5282    4126  
18      5690    4391  
19      6185    4928  
20      6549    5261  
21      6960    5590  
22      7328    5986  
23      8009    6390  
24      8553    6722  
25      9102    7010  
26      9231    7302  
27      9634    7557  
28      10233   7862  
29      10644   8233  
30      10925   8540  
31      11808   8964  
32      11937   9299  
33      12139   9719  
34      12649   10098 
35      13217   10650 
36      14009   10962 
37      14585   11419 
38      14674   11718 
39      15743   11989 
40      15819   12328 
41      16203   12421 
42      16594   12715 
43      17143   13243 
44      17170   13757 
45      17609   14326 
46      18322   14435 
47      19273   14678 
48      19288   15140 
